,institution,location,country,website,status,point,latitude,longitude,altitude,geometry
212,"New Era College Of Arts, Science And Technology","6WJM+3CH, Gundichapli, Rourkela, Odisha 770036, India",Botswana,https://neweracollege.ac.bw/,Full Member,"(22.2301793, 84.9336034, 0.0)",22.2301793,84.9336034,0,POINT (84.9336034 22.2301793)
213,Niger Delta University,"Wilberforce Island, PMB 071 Bayelsa NG, 560103, Amassoma, Bayelsa, Nigeria",Nigeria,https://www.ndu.edu.ng/,Full Member,"(4.9747118, 6.1046353, 0.0)",4.9747118,6.1046353,0,POINT (6.1046353 4.9747118)
214,Nigerian Turkish Nile University,"Plot 681, Cadastral Zone C, OO, Research & Institution Area, Airport Road, Jabi 900108, Abuja, Federal Capital Territory, Nigeria",Nigeria,https://www.nileuniversity.edu.ng,Full Member,"(9.0177471, 7.4016486, 0.0)",9.0177471,7.4016486,0,POINT (7.4016486 9.0177471)
215,Nile Valley University (wadi El-neel University),"MXXJ+78C, Atbara, Sudan",Sudan,http://www.nilevalley.edu.sd,Full Member,"(17.6981989, 33.9807561, 0.0)",17.6981989,33.9807561,0,POINT (33.9807561 17.6981989)
216,Njala University,"Njala Campus, Bo, Sierra Leone",Sierra Leone,https://www.njala.edu.sl/,Full Member,"(7.9552288, -11.7410263, 0.0)",7.9552288,-11.7410263,0,POINT (-11.7410263 7.9552288)
217,Nnamdi Azikiwe University,"Along Enugu-Onitsha Expressway, Ifite Road, 420110, Awka, Anambra, Nigeria",Nigeria,http://www.unizik.edu.ng/,Full Member,"(6.245880199999999, 7.119894, 0.0)",6.2458802,7.119894,0,POINT (7.119894 6.245880199999999)
218,North-west University,"Building F1, 11 Hoffman St, Potchefstroom, 2531, South Africa",South Africa,http://www.nwu.ac.za,Full Member,"(-26.6906445, 27.0928977, 0.0)",-26.6906445,27.0928977,0,POINT (27.0928977 -26.6906445)
219,"Obafemi Awolowo University, Ile-ife","GG9F+84J, 220103, Ife, Osun, Nigeria",Nigeria,http://www.oauife.edu.ng,Full Member,"(7.5183453, 4.5227716, 0.0)",7.5183453,4.5227716,0,POINT (4.5227716 7.5183453)
220,Obour High Institute,"Masr - Al Ismailia Desert Rd, El Shorouk, Al Qalyubia Governorate 6363040, Egypt",Egypt,https://www.oi.edu.eg,Associate Member,"(30.1712774, 31.5281877, 0.0)",30.1712774,31.5281877,0,POINT (31.5281877 30.1712774)
221,October 6 University,"University, المحور المركزي، قسم أول 6 أكتوبر، الجيزة 12511, Egypt",Egypt,https://o6u.edu.eg/,Full Member,"(29.9770322, 30.9464116, 0.0)",29.9770322,30.9464116,0,POINT (30.9464116 29.9770322)
222,Olabisi Onabanjo University,"Ago-Iwoye - Ilisan road, WRFP+9HF, 120107, Ago-Iwoye, Ogun State, Nigeria",Nigeria,http://www.oouagoiwoye.edu.ng/,Full Member,"(6.9234407, 3.8364065, 0.0)",6.9234407,3.8364065,0,POINT (3.8364065 6.9234407)
223,Omdurman Ahlia University,"أم درمان - حي الدوحة جوار مقابر حمد النيل، أم درمان،، JFH8+5PF, Umm Durman, Sudan",Sudan,http://oau.edu.sd/,Full Member,"(15.627938, 32.4668106, 0.0)",15.627938,32.4668106,0,POINT (32.4668106 15.627938)
224,Omdurman Islamic University,"HCFX+4RV, Omdurman, Sudan",Sudan,http://www.oiu.edu.sd/,Full Member,"(15.5728519, 32.4495547, 0.0)",15.5728519,32.4495547,0,POINT (32.4495547 15.5728519)
225,Open University Of Mauritius,"Moka, Mauritius",Mauritius,http://www.open.ac.mu,Full Member,"(-20.2333283, 57.4992818, 0.0)",-20.2333283,57.4992818,0,POINT (57.4992818 -20.2333283)
226,Osun State University,"Main Campus, Oke Bale Street, Area 210001, Osogbo, Osun, Nigeria",Nigeria,http://www.uniosun.edu.ng/,Full Member,"(7.7616469, 4.6012166, 0.0)",7.7616469,4.6012166,0,POINT (4.6012166 7.7616469)
